Name,Path,Data Type,Logical Address,Comment,Hmi Visible,Hmi Accessible,Hmi Writeable,Typeobject ID,Version ID
STOP_PUMP_2,Default tag table,Bool,%M19.0,,True,True,True,,
Stop_Pump_temp_3,Default tag table,Bool,%M19.1,,True,True,True,,
RESET_PUMP_3,Default tag table,Bool,%M19.2,,True,True,True,,
START_PUMP_3,Default tag table,Bool,%M19.3,,True,True,True,,
STOP_PUMP_3,Default tag table,Bool,%M19.4,,True,True,True,,
Stop_Pump_temp_4,Default tag table,Bool,%M19.5,,True,True,True,,
RESET_PUMP_4,Default tag table,Bool,%M19.6,,True,True,True,,
START_PUMP_4,Default tag table,Bool,%M19.7,,True,True,True,,
STOP_PUMP_4,Default tag table,Bool,%M20.0,,True,True,True,,
Stop_Pump_temp_5,Default tag table,Bool,%M20.1,,True,True,True,,
RESET_PUMP_5,Default tag table,Bool,%M20.2,,True,True,True,,
START_PUMP_5,Default tag table,Bool,%M20.3,,True,True,True,,
STOP_PUMP_5,Default tag table,Bool,%M20.4,,True,True,True,,
Stop_Pump_temp_6,Default tag table,Bool,%M20.5,,True,True,True,,
RESET_PUMP_6,Default tag table,Bool,%M20.6,,True,True,True,,
START_PUMP_6,Default tag table,Bool,%M20.7,,True,True,True,,
STOP_PUMP_6,Default tag table,Bool,%M21.0,,True,True,True,,
Stop_Pump_temp_7,Default tag table,Bool,%M21.1,,True,True,True,,
RESET_PUMP_7,Default tag table,Bool,%M21.2,,True,True,True,,
START_PUMP_7,Default tag table,Bool,%M21.3,,True,True,True,,
STOP_PUMP_7,Default tag table,Bool,%M21.4,,True,True,True,,
Stop_Pump_temp_8,Default tag table,Bool,%M21.5,,True,True,True,,
START_PUMP_8,Default tag table,Bool,%M21.6,,True,True,True,,
RESET_PUMP_8,Default tag table,Bool,%M21.7,,True,True,True,,
STOP_PUMP_8,Default tag table,Bool,%M22.0,,True,True,True,,
Stop_Pump_temp_9,Default tag table,Bool,%M22.1,,True,True,True,,
RESET_PUMP_9,Default tag table,Bool,%M22.2,,True,True,True,,
STOP_PUMP_9,Default tag table,Bool,%M22.3,,True,True,True,,
START_PUMP_9,Default tag table,Bool,%M22.4,,True,True,True,,
Home_Tranfer,Default tag table,Bool,%M22.5,Home Tranfer,True,True,True,,
Initial_Tranfer,Default tag table,Bool,%M22.7,Initail Tranfer Group,True,True,True,,
Stop_JOG_Tranfer,Default tag table,Bool,%M23.0,Stop Signal Tranfer,True,True,True,,
Up_XL_Lift_1,Default tag table,Bool,%M23.6,Trigger Up Xy Lanh 1,True,True,True,,
Down_XL_Lift_1,Default tag table,Bool,%M23.7,Trigger Down Xy Lạnh 1,True,True,True,,
Down_XL_Lift_2,Default tag table,Bool,%M28.0,Trgger Down XL 2,True,True,True,,
Up_XL_Lift_2,Default tag table,Bool,%M28.1,Trigger Up XL 2,True,True,True,,
Up_XL_Lift_3,Default tag table,Bool,%M28.2,Trigger XL Lift 3,True,True,True,,
Down_XL_Lift_3,Default tag table,Bool,%M28.3,Trigger Down XL Lift 3,True,True,True,,
Up_XL_Lift_4,Default tag table,Bool,%M28.4,Trgger Up XL Lift 4,True,True,True,,
Down_XL_Lift_4,Default tag table,Bool,%M28.5,Trgger Down XL Lift 4,True,True,True,,
Up_XL_Lift_5,Default tag table,Bool,%M28.6,Trgger Up XL Lift 5,True,True,True,,
Down_XL_Lift_5,Default tag table,Bool,%M28.7,Trigger Down XL 5,True,True,True,,
Manual_Up_XL_Lift_1,Default tag table,Bool,%M29.0,Trigger Manual Up XL Lift 1,True,True,True,,
Manual_Down_XL_Lift_1,Default tag table,Bool,%M29.1,Trigger manual Down XL Lift 1,True,True,True,,
Manual_Up_XL_Lift_2,Default tag table,Bool,%M29.2,Trgger Manual Up XL Lift 2,True,True,True,,
